nome_pt,nome_en,categoria,carbs_per_100g,fibra_per_100g,indice_glicemico,porcao_tipica_g,proteina_per_100g,gordura_per_100g
Carne bovina grelhada,Grilled beef,proteina,0.0,0.0,0,120,32.0,8.0
Carne suina assada,Roast pork,proteina,0.0,0.0,0,100,28.0,10.0
Peixe grelhado,Grilled fish,proteina,0.0,0.0,0,120,26.0,3.0
Ovo cozido,Boiled egg,proteina,0.6,0.0,0,50,13.3,9.5
Ovo frito,Fried egg,proteina,0.6,0.0,0,60,13.0,14.0
Linguica calabresa,Calabresa sausage,proteina,2.0,0.0,0,60,15.0,30.0
Queijo minas,Minas cheese,laticinio,3.2,0.0,0,30,17.4,20.2
Queijo mussarela,Mozzarella cheese,laticinio,3.0,0.0,0,30,22.0,22.0
Requeijao cremoso,Cream cheese spread,laticinio,2.5,0.0,0,30,9.5,25.0
Iogurte natural,Plain yogurt,laticinio,4.1,0.0,36,170,4.1,3.0
Iogurte com frutas,Fruit yogurt,laticinio,15.0,0.0,45,170,3.8,2.5
Leite integral,Whole milk,laticinio,4.7,0.0,27,200,3.2,3.5
Leite desnatado,Skim milk,laticinio,5.1,0.0,32,200,3.4,0.2
Cafe com leite e acucar,Coffee with milk and sugar,bebida,10.0,0.0,60,200,1.6,1.7
Cafe com leite sem acucar,Coffee with milk no sugar,bebida,2.5,0.0,27,200,1.6,1.7
Cafe preto com acucar,Black coffee with sugar,bebida,6.5,0.0,65,50,0.1,0.0
Suco de laranja natural,Fresh orange juice,bebida,10.5,0.1,50,250,0.7,0.2
Suco de uva integral,Grape juice,bebida,14.5,0.0,55,200,0.3,0.1
Refrigerante cola,Cola soda,bebida,10.6,0.0,63,350,0.0,0.0
Agua de coco,Coconut water,bebida,5.0,0.0,55,250,0.0,0.2
Cerveja,Beer,bebida,3.5,0.0,66,350,0.5,0.0
Alface,Lettuce,salada,1.8,1.0,15,50,1.3,0.2
Tomate,Tomato,salada,3.1,1.2,15,80,1.1,0.2
Pepino,Cucumber,salada,2.0,0.6,15,80,0.9,0.0
Cenoura crua,Raw carrot,salada,7.7,3.2,16,60,0.9,0.2
Beterraba cozida,Cooked beet,salada,7.2,1.9,64,50,1.3,0.1
Chuchu cozido,Chayote cooked,salada,4.0,1.1,15,60,0.7,0.1
Vinagrete (molho),Vinaigrette salsa,acompanhamento,4.0,1.0,15,50,0.8,0.3
Couve refogada,Sauteed collard greens,acompanhamento,4.3,3.1,15,60,2.4,3.0
Coxinha,Chicken croquette,salgado,28.0,1.0,65,90,7.0,12.0
Pastel de carne,Fried meat pastry,salgado,30.0,1.0,70,100,8.0,18.0
Esfiha de carne,Meat esfiha,salgado,25.0,1.2,60,90,9.0,8.0
Empada de frango,Chicken empada,salgado,22.0,0.8,60,60,7.0,14.0
Kibe frito,Fried kibbeh,salgado,18.0,2.0,55,80,9.0,12.0
Bolo de cenoura,Carrot cake,sobremesa,40.0,1.0,67,80,5.0,12.0
Bolo de chocolate,Chocolate cake,sobremesa,52.0,1.8,65,80,5.5,15.0
Brigadeiro,Chocolate truffle,sobremesa,67.0,1.0,70,15,3.5,8.0
Pudim de leite,Flan,sobremesa,35.0,0.0,65,100,5.0,5.0
Sorvete,Ice cream,sobremesa,24.0,0.5,61,100,3.5,11.0
Pamonha,Corn pamonha,festa_junina,28.0,1.5,70,150,3.0,5.0
Canjica,Sweet corn porridge,festa_junina,22.0,1.0,65,200,2.5,3.0
Pe de moleque,Peanut brittle,festa_junina,65.0,2.0,70,30,12.0,20.0
Pipoca doce,Sweet popcorn,festa_junina,77.0,4.5,72,30,4.0,5.5
Quentao,Hot spiced drink,festa_junina,12.0,0.0,60,200,0.0,0.0
Rabanada,Brazilian French toast,natal,35.0,0.5,70,80,6.0,8.0
Panetone,Panettone,natal,56.0,2.0,75,80,7.0,10.0
Chester assado,Roast chester,natal,0.0,0.0,0,120,29.0,5.0
Salpicao,Chicken salad,natal,12.0,1.0,55,150,8.0,14.0
Ovo de pascoa,Easter chocolate egg,pascoa,56.0,2.5,43,50,7.0,32.0
Chocolate ao leite,Milk chocolate,sobremesa,56.0,2.0,43,30,7.5,30.0
Pao de alho,Garlic bread,churrasco,42.0,1.5,73,50,7.0,12.0
Coracoes de frango,Grilled chicken hearts,churrasco,0.5,0.0,0,100,26.0,9.0
Picanha,Top sirloin cap,churrasco,0.0,0.0,0,120,25.0,18.0
Farofa de bacon,Bacon farofa,churrasco,48.0,4.0,70,30,4.0,20.0
Granola,Granola,cereal,66.0,6.0,55,40,10.0,12.0
Aveia em flocos,Rolled oats,cereal,66.6,9.1,55,30,13.9,8.5
Mel,Honey,acompanhamento,82.4,0.0,61,20,0.3,0.0
Acucar refinado,Refined sugar,acompanhamento,99.5,0.0,65,5,0.0,0.0
Margarina,Margarine,gordura,0.3,0.0,0,10,0.0,65.0
Azeite de oliva,Olive oil,gordura,0.0,0.0,0,10,0.0,100.0
Manteiga,Butter,gordura,0.1,0.0,0,10,0.4,82.0
Milho verde cozido,Cooked sweet corn,acompanhamento,19.6,3.9,55,100,3.2,0.6
Ervilha em conserva,Canned peas,acompanhamento,9.0,4.0,48,60,4.5,0.4
Soja cozida,Cooked soybean,leguminosa,11.5,5.9,18,80,16.7,6.0
Pizza margherita,Margherita pizza slice,pronto,30.0,1.5,80,120,11.0,10.0
Hamburguer com pao,Hamburger with bun,pronto,28.0,1.2,66,180,13.0,12.0
Feijoada,Feijoada,prato,8.0,3.5,42,300,9.0,9.0
Moqueca,Fish moqueca,prato,5.0,1.0,30,250,10.0,6.0
Estrogonofe de frango,Chicken stroganoff,prato,8.0,0.5,45,200,9.0,8.0
Acaraje,Acaraje,salgado,18.0,3.0,55,120,6.0,12.0
Caldo de cana,Sugarcane juice,bebida,18.0,0.0,73,250,0.0,0.0
